osmid,commutes
"[16237163, 16242620]",33
"[16237168, 16232018]",1042
"[16237190, 16225054]",20
"[16237356, 16243663]",9
"[16237377, 16234925]",61
"[16237392, 16226585]",16
"[16237392, 16231520]",333
"[16237488, 737528903]",123
"[16237506, 16234582]",3
"[16237506, 16241299]",2
"[16237528, 16221970]",58
"[16237562, 16221348]",598
"[16237612, 16234150]",44
"[16237633, 16228134]",79
"[16237633, 16234750]",33
"[16237715, 540432763]",110
"[16237733, 16237727]",1
"[16237827, 483194286, 483194287]",130
"[16237898, 822521021]",353
"[16237927, 553742831]",60
"[16237936, 16225616]",4
"[16238004, 16227477]",405
"[16238014, 16235591]",46
"[16238018, 16234524]",56
"[16238064, 16242302]",13
"[16238073, 16227150]",472
"[16238088, 16234745]",42
"[16238147, 16234212]",11
"[16238161, 16238974]",47
"[16238169, 16232274]",27
"[16238193, 16218187]",14
"[16238209, 16214988]",49
"[16238211, 16227853]",4045
"[16238225, 16239511]",14
"[16238232, 16215209]",41
"[16238242, 16229230]",14
"[16238246, 16237030]",8
"[16238294, 16235942]",112
"[16238298, 537138988, 537138989]",182
"[16238312, 16226556]",61
"[16238364, 501769751]",25
"[16238384, 16235559]",11
"[16238417, 339749845, 339749846]",897
"[16238426, 736241699]",5
"[16238433, 16216907]",56
"[16238475, 16242083]",10
"[16238481, 16224511]",3
"[16238512, 16238849]",3
"[16238529, 16238958]",8
"[16238560, 16234988]",171
"[16238585, 235966259]",42
"[16238601, 116606093]",27
"[16238626, 16216917]",7
"[16238634, 16231499]",64
"[16238642, 540652493, 540655878]",134
"[16238651, 16238652]",64
"[16238736, 16223518]",9
"[16238761, 16234507]",938
"[16238812, 16214893]",46
"[16238824, 16215187]",612
"[16238857, 804973885, 804973886]",9967
"[16238872, 669251696]",111
"[16238953, 16228879]",8
"[16238970, 16213140, 16223510]",341
"[16238977, 16213754]",44
"[16238977, 16242755]",35
"[16239022, 16220975]",14
"[16239032, 16235392]",212
"[16239035, 16234294]",8
"[16239041, 16242993]",16
"[16239048, 829900156, 829900157]",298
"[16239057, 16221148]",19
"[16239145, 16220434]",12
"[16239161, 240568804]",15
"[16239217, 16241740]",64
"[16239250, 16226759]",2
"[16239336, 16236050]",111
"[16239336, 16236051]",41
"[16239353, 16238098]",2
"[16239416, 16236045, 16237751]",130
"[16239417, 16242630]",23
"[16239424, 16227945]",23
"[16239426, 16216074]",337
"[16239458, 16216090]",17
"[16239606, 16239605, 16219342]",6
"[16239609, 16225738]",6
"[16239749, 152654303]",355
"[16239944, 818006620]",178
"[16239962, 16213838]",25
"[16239974, 16215039]",7
"[16240052, 16242358]",23
"[16240083, 16243381]",126
"[16240148, 16215343]",73
"[16240168, 16215651]",36
"[16240232, 567540725, 331327871]",3918
"[16240237, 16234854]",18
"[16240258, 16224363]",4
"[16240321, 51133234, 51133235]",2277
"[16241194, 16226710]",9
"[16241197, 16235966]",17
"[16241272, 16226401]",1
"[16241282, 16240263]",10
"[16241291, 16219607]",9
"[16241292, 16230821]",11
"[16241300, 16228783]",8
"[16241304, 16215590]",38
"[16241304, 16238653]",11
"[16241305, 16236971]",441
"[16241352, 16227917]",395
"[16241369, 16237185, 16225639]",144
"[16241376, 16227870]",10
"[16241388, 16229598]",26
"[16241457, 758839749]",1607
"[16241462, 16212543]",547
"[16241480, 16235641, 16235189]",16
"[16241481, 16229391]",13
"[16241490, 16224090]",9
"[16241506, 16238557]",4
"[16241512, 16213433]",42
"[16241546, 16239642]",30
"[16241562, 16216207]",7
"[16241575, 16242655]",12
"[16241611, 16235925]",3191
"[16241612, 16219006]",49
"[16241682, 828178797]",4310
"[16241712, 16225807]",9
"[16241771, 16225950]",115
"[16241795, 735248596]",280
"[16241842, 16227774]",32
"[16241866, 16234574]",17
"[16241868, 16229895]",21
"[16241894, 16236350]",25
"[16241904, 16221998]",10
"[16241946, 16226806]",129
"[16242064, 16226717]",133
"[16242064, 16233846]",133
"[16242085, 16234838]",363
"[16242408, 16238879]",44
"[16242459, 16236862]",7
"[16242476, 16233861]",140
"[16242513, 560746547]",1080
"[16242569, 767399858]",4650
"[16242594, 16233413]",232
"[16242608, 16214870]",23
"[16242620, 16214710]",24
"[16242697, 16241571, 16212769]",13
"[16242736, 16231943]",873
"[16242745, 525875586]",75
"[16242795, 572293620]",46
"[16242826, 16221419]",26
"[16242890, 609098267]",43
"[16243025, 16224835]",48
"[16243088, 16224276]",373
"[16243211, 16240171]",9
"[16243282, 16239943]",6
"[16243360, 16239019]",5
"[16243410, 16235420]",18
"[16243429, 16216221]",4
"[16243552, 531408561]",45
"[16243554, 16231205]",17
"[16243584, 16228709]",1
"[16243593, 16241894]",17
"[16243616, 804973893, 804973894]",125
"[16243632, 16243637]",1
"[16243650, 274850783]",311
"[16243660, 16228150]",20
"[16243728, 534202201]",83
"[16243731, 16226652]",129
"[170056985, 170056987, 16215787]",9427
"[170056985, 830074587, 830074588]",2547
"[170056989, 16238806, 170056983]",8435
"[175003224, 16215666]",53
"[175003240, 16225820]",10
"[175003242, 175003244, 175003247]",2359
"[175003242, 523619276, 175003245]",715
"[175003248, 175003249, 175003243]",154
"[175003288, 524073588, 175003287]",188
"[175003289, 175003290, 175003285]",137
"[175003337, 175003338, 284549092, 570952359]",119
"[176200955, 49423933]",13248
"[178744361, 121205853, 178744358]",21758
"[178744370, 178744365, 130060389]",2744
"[180200865, 16222285]",12
"[180202362, 180202371, 100798421]",2776
"[180202372, 180202397, 16212542]",12197
"[180202689, 334072251, 222723838]",1184
"[182194361, 182194363, 51133207]",6906
"[182194361, 51133221, 51133222]",1207
"[182194416, 182194432, 16212269]",7685
"[182194421, 274562302]",2399
"[183009882, 522494347]",8949
"[183010056, 183010040, 183009991, 163157463]",1412
"[187885611, 375058955, 188202197]",6560
"[187885617, 16242564, 41785124]",3903
"[189420230, 16236767]",7
"[189483610, 188203511]",13118
"[192387674, 609473916]",4
"[217927601, 447565730]",6
"[220366552, 331768725]",198
"[220378522, 530331284]",28
"[220383440, 824089741, 824089742]",149
"[220383441, 16227748]",1274
"[220383444, 220383438]",115
"[220383444, 824089758, 824089759]",624
"[220387515, 824089756, 824089757]",1578
"[221096222, 221096223]",681
"[221096224, 808130269]",715
"[222586769, 529937419]",2507
"[222968833, 220366550]",204
"[223053163, 527810435]",1319
"[234840779, 16212988]",7507
"[24024193, 24024201, 269459636]",5468
"[24024243, 24024244, 95102983]",5589
"[24039573, 24039574, 109642399]",5726
"[24050972, 24051037]",15837
"[24050979, 24050980]",10536
"[24051002, 24050987, 24050998]",5261
"[24051033, 24051035, 281414918]",5515
"[24051037, 24051038, 24051039]",39775
"[24051057, 24051050, 24051053]",10902
"[24051496, 274977666]",1600
"[24052672, 16215377, 750116283, 24052671]",12315
"[24052745, 24052748]",7277
"[24052749, 24052750, 24052757, 24052758, 16212477]",25808
"[24052752, 24052643, 24052751]",10574
"[24052753, 24052754, 109642558]",4310
"[240527715, 240527709]",91
"[240528491, 16238613]",9
"[240531612, 240531613]",1
"[240531632, 240531610]",24
"[240532592, 758627618]",2
"[240552400, 16242874]",58
"[240552403, 240552404]",36
"[240552420, 240552414]",14
"[240552466, 240552419]",3
"[240552483, 611682959]",44
"[240563436, 240563438]",6
"[240563441, 16228038]",233
